Player,#,Class,Pos,Height,Summary
Caitlin Clark,22,SR,G,6-0,"31.7 Pts, 7.3 Reb, 9.0 Ast"
Kate Martin,20,SR,G,6-0,"13.0 Pts, 6.8 Reb, 2.3 Ast"
Hannah Stuelke,45,SO,F,02-Jun,"14.1 Pts, 6.7 Reb, 1.2 Ast"
Sydney Affolter,3,JR,G,11-May,"8.3 Pts, 6.5 Reb, 2.3 Ast"
Gabbie Marshall,24,SR,G,09-May,"6.1 Pts, 1.2 Reb, 1.6 Ast"
Molly Davis,1,SR,G,07-May,"6.1 Pts, 2.6 Reb, 3.1 Ast"
Addison O'Grady,44,JR,F-C,04-Jun,"4.0 Pts, 1.9 Reb, 0.4 Ast"
Sharon Goodman,40,JR,C,03-Jun,"4.5 Pts, 3.0 Reb, 0.3 Ast"
Taylor McCabe,2,SO,G,09-May,"3.4 Pts, 0.7 Reb, 0.7 Ast"
Kylie Feuerbach,4,SR,G,6-0,"2.7 Pts, 1.3 Reb, 0.9 Ast"
AJ Ediger,34,JR,F,02-Jun,"1.8 Pts, 1.3 Reb, 0.2 Ast"
Jada Gyamfi,23,SO,F,01-Jun,"1.4 Pts, 0.6 Reb, 0.2 Ast"
Kennise Johnson,13,FR,G,04-May,"0.5 Pts, 0.3 Reb, 0.2 Ast"
Ava Jones,35,FR,F,02-Jun,
