Player,#,Class,Pos,Height,Summary
Kamilla Cardoso,10,SR,C,07-Jun,"14.3 Pts, 9.5 Reb, 2.0 Ast"
MiLaysia Fulwiley,12,FR,G,10-May,"11.8 Pts, 2.9 Reb, 2.1 Ast"
Te-Hina Paopao,0,SR,G,09-May,"10.9 Pts, 2.7 Reb, 3.7 Ast"
Ashlyn Watkins,2,SO,F,03-Jun,"9.4 Pts, 7.4 Reb, 1.1 Ast"
Bree Hall,23,JR,G,6-0,"9.3 Pts, 3.0 Reb, 1.5 Ast"
Chloe Kitts,21,SO,F,02-Jun,"9.0 Pts, 5.8 Reb, 1.3 Ast"
Raven Johnson,25,SO,G,08-May,"8.2 Pts, 5.2 Reb, 4.9 Ast"
Sania Feagin,20,JR,F,03-Jun,"6.7 Pts, 3.8 Reb, 1.0 Ast"
Tessa Johnson,5,FR,G,01-Jun,"6.2 Pts, 1.7 Reb, 1.1 Ast"
Sakima Walker,35,SR,C,04-Jun,"2.0 Pts, 1.3 Reb, 0.1 Ast"
Sahnya Jah,24,FR,F,6-0,"3.1 Pts, 2.0 Reb, 0.6 Ast"
